STATE,GCI_rank,ICE_rank,GCI_index,ICE_index,PIBE,LPIBE
Aguascalientes,10,11,0.210069218,0.95,   190 483,12.15731751
BajaCalifornia,2,5,2.204094331,1.13,   478 122,13.07762108
BajaCaliforniaSur,27,26,-0.884836349,-0.68,   116 027,11.66157836
Campeche,30,28,-0.951071765,-0.91,   685 981,13.4386056
Chiapas,28,29,-0.884836349,-0.92,   294 029,12.59143424
Chihuahua,5,3,1.159870029,1.25,   485 694,13.09333308
Coahuila,7,9,0.715215675,0.97,   559 217,13.23429314
Colima,32,31,-1.120745802,-0.99,   93 703,11.44788824
CDMX,11,7,0.049837803,1.01,  2 748 552,14.82658478
Durango,12,19,0.020057991,0.16,   192 969,12.17028291
Guanajuato,13,16,0.000184617,0.32,   620 085,13.33761153
Guerrero,31,27,-1.104506068,-0.71,   227 659,12.3356042
Hidalgo,20,15,-0.494228529,0.43,   243 065,12.40108329
Jalisco,14,13,-0.063988311,0.75,  1 067 257,13.88060214
Mexico,8,4,0.335331477,1.25,  1 402 292,14.15361856
Michoacan,29,22,-0.907134675,-0.18,   379 655,12.84701939
Morelos,16,12,-0.197256068,0.89,   185 662,12.13168551
Nayarit,22,30,-0.548105639,-0.95,   108 987,11.59898143
NuevoLeon,1,2,2.830485451,1.32,  1 161 169,13.96493753
Oaxaca,26,24,-0.846448651,-0.6,   250 239,12.43017216
Puebla,17,18,-0.358718266,0.21,   526 201,13.17343792
Queretaro,15,6,-0.099821268,1.12,   342 666,12.74451282
QuintanaRoo,9,17,0.286481256,0.28,   233 252,12.35987628
SanLuisPotosi,4,10,1.452416164,0.96,   316 716,12.66576184
Sinaloa,25,25,-0.821892079,-0.62,   340 078,12.73692986
Sonora,6,8,0.915560228,0.98,   522 897,13.16713969
Tabasco,24,32,-0.807520295,-1.01,   564 794,13.24421676
Tamaulipas,3,1,1.881628907,1.58,   477 891,13.0771386
Tlaxcala,18,14,-0.367484679,0.73,   90 363,11.41158484
Veracruz,19,20,-0.468002181,0.11,   780 785,13.56805556
Yucatan,23,23,-0.622935919,-0.19,   223 859,12.31877063
Zacatecas,21,21,-0.511700254,-0.1,   156 808,11.96278032
