ID,datamex_code,Product,PCI.2018,N_PCI.2018,Region,rca_bin,DENSITY,GCI_2018,GP_SINVCR,GCP_2018
2429,189005,"Binoculars, monoculars, other optical telescopes, and mountings therefor; other astronomical instruments and mountings therefor, but not including instruments for radio-astronomy; parts and accessories thereof",1.165,0.828080779,Sonora,0,26.22,0,1,21.71227803
2343,189001,"Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other tha",0.7699,0.733318943,Baja California,0,26.2,0,1,19.2129563
219,94504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,-0.5364,0.420012472,Baja California,0,26.1,0,1,10.96232551
2595,189028,"Gas, liquid or electricity supply or production meters, including calibrating meters thereof; parts and accessories thereof",-0.0506,0.536528038,Chihuahua,0,24.68,0,1,13.24151197
223,94504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,-0.5364,0.420012472,Chihuahua,0,23.58,0,1,9.903894085
505,137008,Multiple-walled insulating units of glass,0.7681,0.732887226,Chihuahua,0,22.66,0,1,16.60722454
2284,178714,Parts and accessories of vehicles of headings 8711 to 8713,0.8366,0.749316448,Chihuahua,0,22.66,0,1,16.97951072
2719,189033,"Parts and accessories (not specified or included elsewhere in this chapter) for machines, appliances, instruments or apparatus of chapter 90",0.9104,0.767016837,Chihuahua,0,22.66,0,1,17.38060153
1963,168516,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electrothermic hairdressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; elect",0.5367,0.677387634,Baja California,0,21.67,0,1,14.67899002
42,73909,"Amino-resins, phenolic resins and polyurethanes, in primary forms",1.2493,0.848299516,Edo. Mex.,0,21.46,0,1,18.2045076
2369,189001,"Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other tha",0.7699,0.733318943,Tamaulipas,0,20.68,0,1,15.16503574
2653,189031,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this chapter; profile projectors; parts and accessories thereof",1.8193,0.985009834,Baja California,0,20.53,0,1,20.22225188
2781,209507,"Fishing rods, fish hooks and other line fishing tackle; fish landing nets,butterfly nets and similar nets; decoy birds (other than those of heading 9208 or 9705) and similar hunting or shooting equipment; parts and accessories thereof",-0.5331,0.420803953,Chihuahua,0,20.33,0,1,8.554944357
2670,189031,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this chapter; profile projectors; parts and accessories thereof",1.8193,0.985009834,Nuevo Leon,0,20.24,0,1,19.93659903
1502,168465,"Machine tools (including machines for nailing, stapling, glueing or otherwise assembling) for working wood, cork, bone, hard rubber, hard plastics or similar hard materials",1.0371,0.797404902,Chihuahua,0,19.69,0,1,15.70090253
