"","MUNICIPIO","iteracion","ranking"
"1","Acatlan","Km, 0",22
"2","Acatlan","Km,2",21
"3","Acatlan","Km,4",20
"4","Acatlan","Km,6",19
"5","Acatlan","Km,8",19
"6","Acatlan","Km,10",19
"7","Acatlan","Km,12",18
"8","Acatlan","Km,14",18
"9","Acatlan","Km,16",18
"10","Acatlan","Km,18",18
"11","Acatlan","Km,20",17
"12","Acatlan","Km,22",17
"13","Acatlan","Km,24",17
"14","Acatlan","Km,26",17
"15","Acaxochitlan","Km, 0",24
"16","Acaxochitlan","Km,2",27
"17","Acaxochitlan","Km,4",26
"18","Acaxochitlan","Km,6",25
"19","Acaxochitlan","Km,8",24
"20","Acaxochitlan","Km,10",22
"21","Acaxochitlan","Km,12",22
"22","Acaxochitlan","Km,14",22
"23","Acaxochitlan","Km,16",22
"24","Acaxochitlan","Km,18",22
"25","Acaxochitlan","Km,20",22
"26","Acaxochitlan","Km,22",22
"27","Acaxochitlan","Km,24",22
"28","Acaxochitlan","Km,26",22
"29","Actopan","Km, 0",11
"30","Actopan","Km,2",17
"31","Actopan","Km,4",22
"32","Actopan","Km,6",21
"33","Actopan","Km,8",21
"34","Actopan","Km,10",20
"35","Actopan","Km,12",20
"36","Actopan","Km,14",20
"37","Actopan","Km,16",20
"38","Actopan","Km,18",20
"39","Actopan","Km,20",20
"40","Actopan","Km,22",21
"41","Actopan","Km,24",21
"42","Actopan","Km,26",21
"43","ABI","Km, 0",71
"44","ABI","Km,2",46
"45","ABI","Km,4",50
"46","ABI","Km,6",49
"47","ABI","Km,8",49
"48","ABI","Km,10",49
"49","ABI","Km,12",50
"50","ABI","Km,14",50
"51","ABI","Km,16",50
"52","ABI","Km,18",50
"53","ABI","Km,20",50
"54","ABI","Km,22",50
"55","ABI","Km,24",50
"56","ABI","Km,26",50
"57","Ajacuba","Km, 0",30
"58","Ajacuba","Km,2",47
"59","Ajacuba","Km,4",44
"60","Ajacuba","Km,6",44
"61","Ajacuba","Km,8",43
"62","Ajacuba","Km,10",43
"63","Ajacuba","Km,12",43
"64","Ajacuba","Km,14",43
"65","Ajacuba","Km,16",43
"66","Ajacuba","Km,18",43
"67","Ajacuba","Km,20",43
"68","Ajacuba","Km,22",43
"69","Ajacuba","Km,24",43
"70","Ajacuba","Km,26",43
"71","Alfajayucan","Km, 0",31
"72","Alfajayucan","Km,2",16
"73","Alfajayucan","Km,4",18
"74","Alfajayucan","Km,6",20
"75","Alfajayucan","Km,8",20
"76","Alfajayucan","Km,10",21
"77","Alfajayucan","Km,12",21
"78","Alfajayucan","Km,14",21
"79","Alfajayucan","Km,16",21
"80","Alfajayucan","Km,18",21
"81","Alfajayucan","Km,20",21
"82","Alfajayucan","Km,22",20
"83","Alfajayucan","Km,24",20
"84","Alfajayucan","Km,26",20
"85","Almoloya","Km, 0",32
"86","Almoloya","Km,2",36
"87","Almoloya","Km,4",38
"88","Almoloya","Km,6",39
"89","Almoloya","Km,8",39
"90","Almoloya","Km,10",40
"91","Almoloya","Km,12",40
"92","Almoloya","Km,14",40
"93","Almoloya","Km,16",40
"94","Almoloya","Km,18",40
"95","Almoloya","Km,20",40
"96","Almoloya","Km,22",40
"97","Almoloya","Km,24",40
"98","Almoloya","Km,26",40
"99","Apan","Km, 0",16
"100","Apan","Km,2",15
"101","Apan","Km,4",15
"102","Apan","Km,6",16
"103","Apan","Km,8",17
"104","Apan","Km,10",16
"105","Apan","Km,12",16
"106","Apan","Km,14",16
"107","Apan","Km,16",16
"108","Apan","Km,18",16
